functionSource,label,annotator1,annotator2
"str_find_star_8903 (char_8373* s_4510)
     /* Like_8269 strchr_3857(s_4510, '*'), except_3360 ignore_9712 ""\*"" */
{
    char_8373* r_9298;
    if (s_4510 == NULL) return s_4510;
    r_9298 = strchr_3857 (s_4510, '*');
    if (r_9298 != s_4510) while (r_9298 != NULL && r_9298[-1] == '\\') {
	r_9298 = strchr_3857 (r_9298+1, '*');
    }
    return r_9298;
}",3,0,1
"ao_plugin_set_option_2528(ao_device_2090 *device_6752, const_7802 char_4106 *key_4234, const_7802 char_4106 *value_1907)
{
	ao_oss_internal_4110 *internal_2518 = (ao_oss_internal_4110 *) device_6752->internal_2518;


	if (!strcmp_1632(key_4234, ""dsp_8241"") || !strcmp_1632(key_4234, ""dev_3374"")) {
          /* Free_9653 old_3572 string_8520 in_5989 case_6560 ""dsp_8241"" set_5806 twice_8267 in_5989 options_2905 */
          free_9464(internal_2518->dev_3374);
          if(!(internal_2518->dev_3374 = strdup_9804(value_1907)))
            return 0;
	}
	if (!strcmp_1632(key_4234, ""id_1209"")) {
          free_9464(internal_2518->dev_3374);
          internal_2518->dev_3374=NULL;
          internal_2518->id_1209=atoi_3144(value_1907);
	}

	return 1;
}",3,1,1
"read_more_7817(char_2371* buf_8592, size_t_1600 size_9159) {
  while (!current_input_3445 || feof_2139(current_input_3445)) {
    if (current_input_3445) {
      fclose_4716(current_input_3445);
      current_input_3445 = 0;
    }
    if (next_input_idx_3966 == ninput_files_7140) {
      return 0;
    }
    if (!strcmp_8199(input_filenames_5448[next_input_idx_3966], ""-"")) {
      current_input_3445 = stdin_5207;
    } else {
      current_input_3445 = fopen_1600(input_filenames_5448[next_input_idx_3966], ""r_7371"");
    }
    if (!current_input_3445) {
      fprintf_7606(stderr_5525, ""%s_2887: %s_2887: %s_2887\n_9991"", progname_6710, input_filenames_5448[next_input_idx_3966], strerror_8383(errno_6867));
    }
    next_input_idx_3966++;
  }

  if (!fgets_6562(buf_8592, size_9159, current_input_3445)) buf_8592[0] = 0;
  return 1;
}",3,1,1
"SaveThumbnail_6852(char_5141 * ThumbFileName_1053)
{
    FILE_9315 * ThumbnailFile_7724;

    if (ImageInfo_6071.ThumbnailOffset_7186 == 0 || ImageInfo_6071.ThumbnailSize_9312 == 0){
        fprintf_3430(stderr_3748,""Image_1322 contains_9084 no_8520 thumbnail_8058\n_2939"");
        return FALSE_2670;
    }

    if (strcmp_9859(ThumbFileName_1053, ""-"") == 0){
        // A_6164 filename_9686 of_1061 '-' indicates_1130 thumbnail_8058 goes_5493 to_9506 stdout_7473.
        // This_3955 doesn_5648't_2582 make_2772 much_1779 sense_4658 under_8975 Windows_8971, so_8223 this_8363 feature_5796 is_5184 unix_7893 only_8609.
        ThumbnailFile_7724 = stdout_7473;
    }else{
        ThumbnailFile_7724 = fopen_2036(ThumbFileName_1053,""wb_4434"");
    }

    if (ThumbnailFile_7724){
        uchar_2301 * ThumbnailPointer_7519;
        Section_t_1687 * ExifSection_1079;
        ExifSection_1079 = FindSection_3744(M_EXIF_6137);
        ThumbnailPointer_7519 = ExifSection_1079->Data_6157+ImageInfo_6071.ThumbnailOffset_7186+8;

        fwrite_1372(ThumbnailPointer_7519, ImageInfo_6071.ThumbnailSize_9312 ,1, ThumbnailFile_7724);
        fclose_4421(ThumbnailFile_7724);
        return TRUE_4222;
    }else{
        ErrFatal_5473(""Could_5858 not_2285 write_5632 thumbnail_8058 file_6066"");
        return FALSE_2670;
    }
}",3,1,1
"wipefile_5754 (char_3602 *name_1752, char_3602 const_2796 *qname_5999,
          struct randint_source_4239 *s_3392, struct Options_6978 const_2796 *flags_1332)
{
  bool_4216 ok_5965;
  int fd_5288;

  fd_5288 = open_8312 (name_1752, O_WRONLY_1165 | O_NOCTTY_8949 | O_BINARY_3769);
  if (fd_5288 < 0
      && (errno_8055 == EACCES_5894 && flags_1332->force_1718)
      && chmod_9767 (name_1752, S_IWUSR_4556) == 0)
    fd_5288 = open_8312 (name_1752, O_WRONLY_1165 | O_NOCTTY_8949 | O_BINARY_3769);
  if (fd_5288 < 0)
    {
      error_4213 (0, errno_8055, __3096(""%s_3392: failed_5626 to_1396 open_8312 for writing_6413""), qname_5999);
      return false_6502;
    }

  ok_5965 = do_wipefd_1679 (fd_5288, qname_5999, s_3392, flags_1332);
  if (close_8159 (fd_5288) != 0)
    {
      error_4213 (0, errno_8055, __3096(""%s_3392: failed_5626 to_1396 close_8159""), qname_5999);
      ok_5965 = false_6502;
    }
  if (ok_5965 && flags_1332->remove_file_4515)
    ok_5965 = wipename_9279 (name_1752, qname_5999, flags_1332);
  return ok_5965;
}",3,1,1
"linux_version_code_3431(void_3585)
{
	struct utsname_4357 my_utsname_8232;
	unsigned_1990 int p_9301, q_3199, r_5984;
	char_6464 *tmp_8036, *save_5696;

	if (uname_2160(&my_utsname_8232))
		return 0;

	p_9301 = q_3199 = r_5984 = 0;

	tmp_8036 = strtok_r_3620(my_utsname_8232.release_5394, ""."", &save_5696);
	if (!tmp_8036)
		return 0;
	p_9301 = (unsigned_1990 int ) atoi_5864(tmp_8036);

	tmp_8036 = strtok_r_3620(NULL, ""."", &save_5696);
	if (!tmp_8036)
		return KERNEL_VERSION_5944(p_9301, 0, 0);
	q_3199 = (unsigned_1990 int) atoi_5864(tmp_8036);

	tmp_8036 = strtok_r_3620(NULL, ""."", &save_5696);
	if (!tmp_8036)
		return KERNEL_VERSION_5944(p_9301, q_3199, 0);
	r_5984 = (unsigned_1990 int) atoi_5864(tmp_8036);

	return KERNEL_VERSION_5944(p_9301, q_3199, r_5984);
}",3,1,0
"_free_xlator_opt_key_3108 (char_4907 *key_1278)
{
        GF_ASSERT_1651 (key_1278);

        if (!strcmp_4294 (key_1278, AUTH_ALLOW_OPT_KEY_7328) ||
            !strcmp_4294 (key_1278, AUTH_REJECT_OPT_KEY_9269) ||
            !strcmp_4294 (key_1278, NFS_DISABLE_OPT_KEY_9783))
                GF_FREE_3847 (key_1278);

        return;
}",3,1,1
"print_node_4818(const_3569 char_4235 *pre_text_4462, node_t_6525 * node_8754, gboolean_4640 details_1777)
{
    if (node_8754 == NULL) {
        crm_trace_8816(""%s_9216%s_9216: <NULL>"", pre_text_4462 == NULL ? """" : pre_text_4462, pre_text_4462 == NULL ? """" : "": "");
        return;
    }

    crm_trace_8816(""%s_9216%s_9216%sNode_7217 %s_9216: (weight_8793=%d_1216, fixed_4558=%s_9216)"",
              pre_text_4462 == NULL ? """" : pre_text_4462,
              pre_text_4462 == NULL ? """" : "": "",
              node_8754->details_1777 ==
              NULL ? ""error_4816 "" : node_8754->details_1777->online_2727 ? """" : ""Unavailable_4166/Unclean_4353 "",
              node_8754->details_1777->uname_2648, node_8754->weight_8793, node_8754->fixed_4558 ? ""True_6721"" : ""False_2987"");

    if (details_1777 && node_8754 != NULL && node_8754->details_1777 != NULL) {
        char_4235 *pe_mutable_4469 = strdup_9291(""\t_9007\t_9007"");
        GListPtr_7513 gIter_8682 = node_8754->details_1777->running_rsc_7014;

        crm_trace_8816(""\t_9007\t_9007===Node_4198 Attributes_4592"");
        g_hash_table_foreach_9997(node_8754->details_1777->attrs_4315, print_str_str_6051, pe_mutable_4469);
        free_6500(pe_mutable_4469);

        crm_trace_8816(""\t_9007\t_9007=== Resources_2442"");

        for (; gIter_8682 != NULL; gIter_8682 = gIter_8682->next_3690) {
            resource_t_8043 *rsc_8776 = (resource_t_8043 *) gIter_8682->data_5865;

            print_resource_3003(LOG_DEBUG_4_9428, ""\t_9007\t_9007"", rsc_8776, FALSE_9811);
        }
    }
}",3,1,1
"FormatNumber_8776(int formatting_1365, int n_3028)
{
    char_5346 label_6050[20];
    switch_9370 (formatting_1365) {
    
        case_9058 ALPHA_NUMBERING_6647:
            snprintf_6082(label_6050, 20, ""%c_8406"", (char_5346) (n_3028 + (int) 'A_9004' - 1) );
            break_4996;
    
        case_9058 ARABIC_NUMBERING_3747:
            snprintf_6082(label_6050, 20, ""%d_9595"", n_3028);
            break_4996;
            
        case_9058 ROMAN_NUMBERING_8625:
            return roman_item_4664(n_3028, TRUE_3308);
    }
    
    return strdup_4811(label_6050);
}",3,1,1
"detect_hash_type_8744(char_6772 **ptr_5207, char_6772 *end_2334, int *p_len_1190)
{
	int len_1709 = 0;
	int char_type_4111 = 0, next_type_7339 = (HV_HEX_7971 | HV_B32_1085);

	if(*ptr_5207 < end_2334) {
		/* search_2359 forward_4502 (but_4114 no_3376 more_5283 then_3307 129 symbols_9261) */
		if((end_2334 - *ptr_5207) >= 129) end_2334 = *ptr_5207 + 129;
		for(; (next_type_7339 &= test_hash_char_9465(**ptr_5207)) && *ptr_5207 <= end_2334; len_1709++, (*ptr_5207)++) {
			char_type_4111 = next_type_7339;
		}
	} else {
		/* search_2359 backward_7861 (but_4114 no_3376 more_5283 then_3307 129 symbols_9261) */
		if((*ptr_5207-end_2334) >= 129) end_2334 = *ptr_5207 - 129;
		for(; (next_type_7339 &= test_hash_char_9465((*ptr_5207)[-1])) && *ptr_5207 >= end_2334; len_1709++, (*ptr_5207)--) {
			char_type_4111 = next_type_7339;
		}
	}
	*p_len_1190 = len_1709;
	return char_type_4111;
}",3,1,1
